NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100913;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100914;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100915;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100916;9.8;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100917;0.8;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100918;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100919;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100920;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100921;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100922;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100923;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100924;5.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100925;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100926;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100927;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100928;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100929;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100930;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101001;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101002;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101003;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101004;11.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101005;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101006;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101007;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101008;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101009;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101010;6.6;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101011;2.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101012;0.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101013;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101014;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101015;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101016;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101017;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101018;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101019;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101020;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101021;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101022;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101023;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101024;19.6;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101025;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101026;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101027;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101028;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101029;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101030;29.6;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101031;40.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101101;8.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101102;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101103;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101104;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101105;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101106;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101107;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101108;2.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101109;1.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101110;0.8;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101111;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101112;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101113;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101114;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101115;6.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101116;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101117;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101118;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101119;6.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101120;21.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101121;4.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101122;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101123;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101124;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101125;6.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101126;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101127;3.6;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101128;0.6;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101129;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101130;9.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101201;1.6;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101202;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101203;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101204;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101205;3.6;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101206;0.4;1
